city,state,population,lat,lng,index
Blaine,Minnesota,60407,45.1652204,-93.2747195,586
Wellington,Florida,60202,26.6388823,-80.3391037,587
Cupertino,California,60189,37.30661,-122.080628,588
Springfield,Oregon,60177,44.058465,-123.011597,589
Rogers,Arkansas,60112,36.320391,-93.978383,590
St. Clair Shores,Michigan,60070,42.876235,-82.547672,591
Gardena,California,59957,33.888315,-118.295256,592
Pontiac,Michigan,59887,42.670272,-83.289036,593
National City,California,59834,32.671194,-117.084353,594
Grand Junction,Colorado,59778,39.069019,-108.583126,595
Rocklin,California,59738,38.8118916,-121.280176,596
Chapel Hill,North Carolina,59635,36.004647,-79.054475,597
Casper,Wyoming,59628,41.195479,-105.84162,598
Broomfield,Colorado,59471,39.930782,-105.074287,599
Petaluma,California,59440,38.265366,-122.822588,600
South Jordan,Utah,59366,40.554098,-111.953891,601
Springfield,Ohio,59357,39.927059,-83.813228,602
Great Falls,Montana,59351,47.511219,-111.2755,603
Lancaster,Pennsylvania,59325,40.076553,-76.31068,604
North Port,Florida,59212,27.074755,-82.175602,605
Lakewood,Washington,59097,47.128671,-122.510316,606
Marietta,Georgia,59089,33.912473,-84.557181,607
San Rafael,California,58994,37.970948,-122.504286,608
Royal Oak,Michigan,58946,42.492485,-83.145375,609
Des Plaines,Illinois,58918,42.048278,-87.890466,610
Huntington Park,California,58879,33.977987,-118.213137,611
La Mesa,California,58642,32.83146,-117.216579,612
Orland Park,Illinois,58590,41.625307,-87.83293,613
Auburn,Alabama,58582,32.547542,-85.468222,614
Lakeville,Minnesota,58562,44.633421,-93.25812,615
Owensboro,Kentucky,58416,37.751818,-87.257303,616
Moore,Oklahoma,58414,35.491608,-97.562817,617
Jupiter,Florida,58298,26.936558,-80.131851,618
Idaho Falls,Idaho,58292,43.54241,-111.877936,619
Dubuque,Iowa,58253,42.545412,-90.6963,620
Bartlett,Tennessee,58226,35.2316232,-89.8859724,621
Rowlett,Texas,58043,32.91747,-96.534737,622
Novi,Michigan,57960,42.468959,-83.522221,623
White Plains,New York,57866,41.031397,-73.769626,624
Arcadia,California,57639,34.136258,-118.026704,625
Redmond,Washington,57530,47.678756,-122.121034,626
Lake Elsinore,California,57525,33.650799,-117.372457,627
Ocala,Florida,57468,29.198907,-82.087425,628
Tinley Park,Illinois,57282,41.57337,-87.78449,629
Port Orange,Florida,57203,29.136974,-81.023957,630
Medford,Massachusetts,57170,42.446396,-71.459405,631
Oak Lawn,Illinois,57073,41.713437,-87.75256,632
Rocky Mount,North Carolina,56954,35.913276,-77.730779,633
Kokomo,Indiana,56895,40.506851,-86.171054,634
Bowie,Maryland,56759,38.982612,-76.74379,636
Berwyn,Illinois,56758,41.85059,-87.79367,637
Midwest City,Oklahoma,56756,35.4738118,-97.4277439,638
Fountain Valley,California,56707,33.710582,-117.951129,639
Buckeye,Arizona,56683,33.37032,-112.58378,640
Dearborn Heights,Michigan,56620,42.277334,-83.264832,641
Woodland,California,56590,38.74388,-121.915653,642
Noblesville,Indiana,56540,40.073328,-85.999521,643
Diamond Bar,California,56449,34.02862,-117.81034,645
Manhattan,Kansas,56143,39.168205,-96.6899447,646
Santee,California,56105,32.843956,-116.994511,647
Taunton,Massachusetts,56069,41.909112,-71.118346,648
Sanford,Florida,56002,28.793491,-81.299169,649
Kettering,Ohio,55870,39.689504,-84.168827,650
New Brunswick,New Jersey,55831,40.486754,-74.444395,651
Decatur,Alabama,55816,34.608016,-87.011052,652
Chicopee,Massachusetts,55717,42.154904,-72.602804,653
Anderson,Indiana,55670,40.141033,-85.766164,654
Margate,Florida,55456,26.244526,-80.206436,655
Weymouth Town,Massachusetts,55419,42.20794,-70.95514,656
Hempstead,New York,55361,40.71724,-73.602746,657
Corvallis,Oregon,55298,44.639931,-123.275969,658
Eastvale,California,55191,33.9713049,-117.6521506,659
Porterville,California,55174,35.973777,-118.703592,660
West Haven,Connecticut,55046,41.272452,-72.940335,661
Brentwood,California,55000,37.922228,-121.668359,662
Paramount,California,54980,33.899015,-118.165152,663
Georgetown,Texas,54898,30.668034,-97.574706,665
St. Peters,Missouri,54842,38.798819,-90.623673,666
Shoreline,Washington,54790,47.755653,-122.341518,667
Mount Prospect,Illinois,54771,42.062377,-87.931797,668
Hanford,California,54686,36.220468,-119.71776,669
Rosemead,California,54561,34.065493,-118.084529,671
Lehi,Utah,54382,40.39162,-111.85077,672
Pocatello,Idaho,54350,42.904933,-112.380079,673
Highland,California,54291,34.12834,-117.20865,674
Novato,California,54194,38.134068,-122.52719,675
Carson City,Nevada,54080,39.154485,-119.73074,677
San Marcos,Texas,54076,29.972907,-97.997166,678
Hendersonville,Tennessee,54068,36.347551,-86.612045,679
Elyria,Ohio,53956,41.371396,-82.105112,680
Revere,Massachusetts,53756,42.40843,-71.01199,681
Pflugerville,Texas,53752,30.442737,-97.597055,682
Greenwood,Indiana,53665,39.62181,-86.175319,683
Bellevue,Nebraska,53663,41.132948,-95.903956,684
Wheaton,Illinois,53648,41.87272,-88.112442,685
Smyrna,Georgia,53438,33.869656,-84.498844,686
Sarasota,Florida,53326,27.335023,-82.537169,687
Blue Springs,Missouri,53294,38.964518,-94.370275,688
Colton,California,53243,34.0739,-117.31365,689
Euless,Texas,53224,32.8462232,-97.1295549,690
Castle Rock,Colorado,53063,39.374779,-104.849988,691
Cathedral City,California,52977,33.818256,-116.466743,692
Kingsport,Tennessee,52962,36.514384,-82.547615,693
Lake Havasu City,Arizona,52844,34.5099195,-114.3810074,694
Pensacola,Florida,52703,30.428781,-87.222516,695
Hoboken,New Jersey,52575,40.746851,-74.033934,696
Yucaipa,California,52536,34.06226,-116.971138,697
Watsonville,California,52477,36.98025,-121.74696,698
Richland,Washington,52413,46.28569,-119.28446,699
Delano,California,52403,35.779507,-119.200825,700
Hoffman Estates,Illinois,52398,42.079336,-88.223655,701
Florissant,Missouri,52363,38.805499,-90.351314,702
Placentia,California,52206,33.881158,-117.854783,703
West New York,New Jersey,52122,40.787346,-74.0196486,704
Dublin,California,52105,37.714402,-121.906329,705
Oak Park,Illinois,52066,41.888545,-87.798933,706
Peabody,Massachusetts,52044,42.536996,-70.973646,707
Perth Amboy,New Jersey,51982,40.520654,-74.279144,708
Battle Creek,Michigan,51848,42.303041,-85.13044,709
Bradenton,Florida,51763,27.404731,-82.470456,710
Gilroy,California,51701,37.023347,-121.493849,711
Milford,Connecticut,51644,41.22232,-73.0565,712
Albany,Oregon,51583,44.65345,-123.139526,713
Ankeny,Iowa,51567,41.672687,-93.572173,714
La Crosse,Wisconsin,51522,43.806197,-91.140529,715
Burlington,North Carolina,51510,36.029833,-79.49161,716
DeSoto,Texas,51483,32.599427,-96.864075,717
Harrisonburg,Virginia,51395,38.422777,-78.877137,718
Minnetonka,Minnesota,51368,44.916963,-93.481749,719
Elkhart,Indiana,51265,41.71873,-85.937024,720
Lakewood,Ohio,51143,41.48199,-81.79819,721
Glendora,California,51074,34.119363,-117.855059,722
Southaven,Mississippi,50997,34.956633,-89.99624,723
Charleston,West Virginia,50821,38.350719,-81.630359,724
Palm Beach Gardens,Florida,50699,26.600995,-80.038113,727
Brookhaven,Georgia,50603,33.8727851,-84.3988688,728
Plainfield,New Jersey,50588,40.615202,-74.414995,729
Grand Island,Nebraska,50550,40.9219153,-98.4298742,730
Palm Desert,California,50508,33.76437,-116.339766,731
Huntersville,North Carolina,50458,35.462187,-80.898668,732
Tigard,Oregon,50444,45.405501,-122.795057,733
Lenexa,Kansas,50344,38.953617,-94.733571,734
Saginaw,Michigan,50303,43.41242,-83.886873,735
Kentwood,Michigan,50233,42.945748,-85.613839,736
Doral,Florida,50213,25.8186392,-80.3891921,737
Apple Valley,Minnesota,50201,44.7468016,-93.2351545,738
Grapevine,Texas,50195,32.932843,-97.080802,739
Aliso Viejo,California,50175,33.576205,-117.730364,740
Sammamish,Washington,50169,47.619112,-122.023898,741
Casa Grande,Arizona,50111,32.89055,-111.753991,742
Pinellas Park,Florida,49998,27.891809,-82.724763,743
Troy,New York,49974,42.71144,-73.525561,744
West Sacramento,California,49891,38.591854,-121.537801,745
Burien,Washington,49858,47.4766012,-122.4075744,746
Commerce City,Colorado,49799,39.869835,-104.771527,747
Cerritos,California,49707,33.866914,-118.068648,749
Downers Grove,Illinois,49670,41.796279,-88.012267,750
Coral Gables,Florida,49631,25.6995069,-80.3431961,751
Wilson,North Carolina,49628,35.723264,-77.925269,752
Niagara Falls,New York,49468,43.095821,-79.040407,753
Poway,California,49417,32.994097,-117.030299,754
Edina,Minnesota,49376,44.889687,-93.349949,755
Cuyahoga Falls,Ohio,49267,41.143906,-81.473585,756
Rancho Santa Margarita,California,49228,33.895399,-117.84008,757
Harrisburg,Pennsylvania,49188,40.258655,-76.894376,758
La Mirada,California,49133,34.14647,-117.756784,760
Cypress,California,49087,33.81696,-118.03729,761
Caldwell,Idaho,48957,43.661908,-116.65629,762
Logan,Utah,48913,41.717722,-111.836493,763
Galveston,Texas,48733,29.310535,-94.775768,764
Sheboygan,Wisconsin,48725,43.71011,-87.735217,765
Middletown,Ohio,48630,39.543446,-84.442394,766
Murray,Utah,48612,40.666892,-111.887991,767
Parker,Colorado,48608,39.489472,-104.844731,769
Bedford,Texas,48592,32.852546,-97.136289,770
East Lansing,Michigan,48554,42.763888,-84.458771,771
Methuen,Massachusetts,48514,42.73184,-71.186915,772
Covina,California,48508,34.097345,-117.906736,773
Olympia,Washington,48338,46.984767,-122.869079,775
Euclid,Ohio,48139,41.566834,-81.526142,776
Mishawaka,Indiana,47989,41.615082,-86.14782,777
Azusa,California,47842,34.13529,-117.91506,779
Newark,Ohio,47777,40.119897,-82.377784,780
Chesterfield,Missouri,47749,38.637002,-90.650024,781
Leesburg,Virginia,47673,39.041987,-77.605404,782
Dunwoody,Georgia,47591,33.946213,-84.334647,783
Hattiesburg,Mississippi,47556,31.245138,-89.28071,784
Roseville,Michigan,47555,42.509635,-82.936069,785
Portage,Michigan,47523,42.193793,-85.563901,787
St. Louis Park,Minnesota,47411,44.90414,-93.373157,788
Collierville,Tennessee,47333,35.080992,-89.699083,789
Middletown,Connecticut,47333,41.550139,-72.655357,790
Stillwater,Oklahoma,47186,36.101521,-97.069061,791
East Providence,Rhode Island,47149,41.813429,-71.363348,792
Lawrence,Indiana,47135,39.838652,-86.025261,793
Wauwatosa,Wisconsin,47134,43.049457,-88.007588,794
Mentor,Ohio,46979,41.679291,-81.328779,795
Ceres,California,46714,37.561889,-120.967976,796
Cedar Hill,Texas,46663,32.580181,-96.964675,797
Mansfield,Ohio,46454,40.791707,-82.509404,798
Binghamton,New York,46444,42.165629,-75.890685,799
Coeur d'Alene,Idaho,46402,47.691736,-116.654109,800
San Luis Obispo,California,46377,35.180139,-120.730674,801
Palm Springs,California,46281,33.842567,-116.527996,803
Pine Bluff,Arkansas,46094,34.208962,-91.985946,804
Texas City,Texas,46081,29.376057,-94.921474,805
Summerville,South Carolina,46074,33.051384,-80.18854,806
Jeffersonville,Indiana,45929,38.333402,-85.697211,808
Madison,Alabama,45799,34.643795,-86.818118,810
Altoona,Pennsylvania,45796,40.489433,-78.349874,811
Columbus,Indiana,45775,39.191447,-85.891338,812
Beavercreek,Ohio,45712,39.709226,-84.063269,813
Apopka,Florida,45587,28.635425,-81.488843,814
Elmhurst,Illinois,45556,41.88353,-87.946413,815
Maricopa,Arizona,45508,32.957645,-112.053351,816
Farmington,New Mexico,45426,36.740321,-108.178691,817
Glenview,Illinois,45417,42.075201,-87.821026,818
Cleveland Heights,Ohio,45394,41.520052,-81.556235,819
Draper,Utah,45285,40.506148,-111.869671,820
Lincoln,California,45237,38.929305,-121.327143,821
Lacey,Washington,44919,47.026418,-122.796695,823
Biloxi,Mississippi,44820,30.409826,-88.880304,824
Strongsville,Ohio,44730,41.313268,-81.831656,825
Barnstable Town,Massachusetts,44641,41.704506,-70.303537,826
Wylie,Texas,44575,33.012135,-96.534936,827
Sayreville,New Jersey,44412,40.430006,-74.417344,828
Kannapolis,North Carolina,44359,35.462981,-80.672531,829
Charlottesville,Virginia,44349,38.026588,-78.48045,830
Littleton,Colorado,44275,39.597937,-105.010182,831
Titusville,Florida,44206,28.548877,-80.853421,832
Hackensack,New Jersey,44113,40.889398,-74.045698,833
Newark,California,44096,37.534102,-122.025352,834
Pittsfield,Massachusetts,44057,42.479475,-73.24807,835
York,Pennsylvania,43935,39.962998,-76.727139,836
Lombard,Illinois,43907,41.869829,-88.003864,837
Attleboro,Massachusetts,43886,41.938976,-71.302297,838
DeKalb,Illinois,43849,41.92947,-88.75036,839
Blacksburg,Virginia,43609,37.256283,-80.43473,840
Dublin,Ohio,43607,40.09746,-83.150103,841
Haltom City,Texas,43580,32.801874,-97.263393,842
Lompoc,California,43509,34.629464,-120.336594,843
Danville,California,43341,37.832075,-121.916718,845
Jefferson City,Missouri,43330,38.494029,-92.165194,846
Cutler Bay,Florida,43328,25.5756685,-80.3589261,847
Oakland Park,Florida,43286,26.172307,-80.131989,848
North Miami Beach,Florida,43250,25.9286252,-80.2048096,849
Freeport,New York,43167,40.651251,-73.585222,850
Moline,Illinois,43116,41.482387,-90.493492,851
Fort Pierce,Florida,43074,27.412128,-80.534169,853
Smyrna,Tennessee,43060,35.959541,-86.53159,854
Bountiful,Utah,43023,40.874038,-111.870994,855
Fond du Lac,Wisconsin,42970,43.77366,-88.436782,856
Everett,Massachusetts,42935,42.407396,-71.051183,857
Danville,Virginia,42907,36.603501,-79.376228,858
Keller,Texas,42907,32.928037,-97.283914,859
Belleville,Illinois,42895,38.46435,-89.973877,860
Bell Gardens,California,42889,33.786594,-118.298662,861
Cleveland,Tennessee,42774,35.149223,-84.874031,862
North Lauderdale,Florida,42757,26.2082963,-80.2373816,863
Fairfield,Ohio,42635,39.325714,-84.55239,864
Salem,Massachusetts,42544,42.642845,-70.873647,865
Rancho Palos Verdes,California,42448,34.156382,-118.517808,866
San Bruno,California,42443,37.381144,-122.334825,867
Concord,New Hampshire,42419,43.230314,-71.536101,868
Burlington,Vermont,42284,44.476622,-73.209998,869
Apex,North Carolina,42214,35.712397,-78.915514,870
Midland,Michigan,42181,43.626132,-84.33803,871
Altamonte Springs,Florida,42150,28.666625,-81.365039,872
Hutchinson,Kansas,41889,37.954312,-97.88569,873
Buffalo Grove,Illinois,41778,42.180411,-87.960771,874
Urbandale,Iowa,41776,41.630449,-93.753628,875
State College,Pennsylvania,41757,40.77893,-77.841359,876
Plainfield,Illinois,41734,41.632457,-88.169698,878
Manassas,Virginia,41705,38.744685,-77.487162,879
Bartlett,Illinois,41679,41.980446,-88.203407,880
Kearny,New Jersey,41664,40.75175,-74.122937,881
Oro Valley,Arizona,41627,32.452638,-110.97366,882
Findlay,Ohio,41512,40.993263,-83.650714,883
Rohnert Park,California,41398,38.463088,-122.989975,884
Westfield,Massachusetts,41301,42.153503,-72.771602,885
Linden,New Jersey,41301,40.626953,-74.250939,886
Sumter,South Carolina,41190,33.913678,-80.354238,887
Wilkes-Barre,Pennsylvania,41108,41.272248,-75.880146,888
Woonsocket,Rhode Island,41026,41.984598,-71.51939,889
Leominster,Massachusetts,41002,42.52509,-71.75979,890
Shelton,Connecticut,40999,41.314347,-73.137143,891
Brea,California,40963,33.927561,-117.887086,892
Covington,Kentucky,40956,39.05906,-84.542748,893
Rockwall,Texas,40922,32.886,-96.409502,894
Riverton,Utah,40921,40.52189,-111.9391,896
St. Cloud,Florida,40918,28.244625,-81.290847,897
Quincy,Illinois,40915,39.931138,-91.385695,898
Morgan Hill,California,40836,37.130238,-121.681557,899
Warren,Ohio,40768,41.176641,-80.902344,900
Edmonds,Washington,40727,47.806068,-122.372401,901
Burleson,Texas,40714,32.492683,-97.264359,902
Beverly,Massachusetts,40664,42.565145,-70.853843,903
Mankato,Minnesota,40641,44.128325,-93.978863,904
Hagerstown,Maryland,40612,39.58887,-77.700213,905
Prescott,Arizona,40590,34.591349,-112.426312,906
Campbell,California,40584,37.278563,-121.955101,907
Beaumont,California,40481,33.92703,-116.954753,909
La Puente,California,40435,34.031415,-117.93647,910
Crystal Lake,Illinois,40388,42.272492,-88.314084,911
Fitchburg,Massachusetts,40383,42.583689,-71.816767,912
Carol Stream,Illinois,40379,41.839679,-88.088716,913
Hickory,North Carolina,40361,35.758221,-81.308224,914
Streamwood,Illinois,40351,42.019093,-88.178475,915
Norwich,Connecticut,40347,41.52426,-72.07591,916
Coppell,Texas,40342,32.963417,-96.984664,917
San Gabriel,California,40275,34.114772,-118.089431,918
Holyoke,Massachusetts,40249,42.198291,-72.64207,919
Bentonville,Arkansas,40167,36.347107,-94.223419,920
Peachtree Corners,Georgia,40059,33.9662328,-84.2515954,922
Brentwood,Tennessee,40021,35.874553,-86.907565,923
